Name,Primary Category,Other Categories,Flags,Tags,Bulk,Grocery,manufacturer,Primary supplier,Cost,Price,Inventory
Briess - 2 Row,Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Recipe Builder, Brewing Basics",,TRUE,TRUE,Briess,Brewcraft,0.59,1.69,
"Briess - 2 Row, 50 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],,Sack,FALSE,TRUE,Briess,Brewcraft,29.50,49.95,
Briess - Organic 2 Row,Ingredients,[Malts and Adjuncts? Malts? Base Malts],Recipe Builder,Organic,TRUE,TRUE,Briess,Brewcraft,0.82,2.49,
"Briess - Organic 2 Row, 50 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Hidden, Special Order Only","Organic, Sack",FALSE,TRUE,Briess,Brewcraft,41,,
Briess - Pale Ale,Ingredients,[Malts and Adjuncts? Malts? Base Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,0.60,1.69,
"Briess - Pale Ale, 50 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Hidden, Special Order Only",Sack,FALSE,TRUE,Briess,Brewcraft,30,49.95,
Briess - Pilsen,Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Recipe Builder, Brewing Basics",,TRUE,TRUE,Briess,Brewcraft,0.60,1.69,
"Briess - Pilsen, 50 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],,Sack,FALSE,TRUE,Briess,Brewcraft,30,49.95,
Briess - Bonlander Munich,Ingredients,[Malts and Adjuncts? Malts? Base Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,0.68,1.89,
"Briess - Bonlander Munich, 50 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Hidden, Special Order Only",Sack,FALSE,TRUE,Briess,Brewcraft,34,54.95,
Briess - White Wheat Malt,Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Recipe Builder, Brewing Basics",,TRUE,TRUE,Briess,Brewcraft,0.64,1.79,
"Briess - White Wheat Malt, 50 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Hidden, Special Order Only",Sack,FALSE,TRUE,Briess,Brewcraft,32,52.95,
Briess - Red Wheat,Ingredients,[Malts and Adjuncts? Malts? Base Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,0.62,1.79,
Briess - Rye,Ingredients,[Malts and Adjuncts? Malts? Base Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,0.94,2.49,
Thomas Fawcett - Maris Otter,Ingredients,[Malts and Adjuncts? Malts? Base Malts],Recipe Builder,,TRUE,TRUE,Thomas Fawcett,Brewcraft,0.91,2.49,
